feature,var,acc
'dit' ,0.022258693260115002,0.5624319094806574
'noc' ,0.02427684669226496,0.5168487319550333
'cbo' ,0.019054053573623823,0.6106008000326378
'rfc' ,0.011875162949334848,0.643620558832876
'lcom' ,0.020785468374234947,0.6112061457567848
'ca' ,0.022309216460836948,0.5586509003002513
'ce' ,0.0162901468177104,0.6033162457193487
'npm' ,0.021038547185786925,0.6128061230482212
'lcom3' ,0.02069945176767932,0.6119598888881943
'loc' ,0.013484545174869904,0.6663103477154404
'dam' ,0.02329831930650469,0.569670776616177
'moa' ,0.02427754065820936,0.5523920611684197
'mfa' ,0.019202479181652986,0.6250700161480154
'cam' ,0.01877878816719633,0.6443827328141626
'ic' ,0.0237203099271921,0.5403612058183909
'cbm' ,0.023181642264042457,0.5488264529602411
'amc' ,0.011175091673826038,0.6567674379554089
'max_cc' ,0.019662268752006898,0.6115214256992518
'avg_cc' ,0.019573840243702626,0.6288464412456856
"'loc', 'dit' ",0.017871619217492453,0.6969387504547238
"'loc', 'noc' ",0.01888069593356743,0.6691473139575789
"'loc', 'cbo' ",0.016269299374246864,0.6934750259322195
"'loc', 'rfc' ",0.012679854062102376,0.6910171938762614
"'loc', 'lcom' ",0.017135006774552423,0.7066586602830096
"'loc', 'ca' ",0.017896880817853428,0.6792828154489678
"'loc', 'ce' ",0.014887345996290153,0.6897513598474481
"'loc', 'npm' ",0.017261546180328415,0.7041034825774357
"'loc', 'lcom3' ",0.017091998471274614,0.6969664862756729
"'loc', 'dam' ",0.018391432240687296,0.6753524888107575
"'loc', 'moa' ",0.01888104291653963,0.6736882931962256
"'loc', 'mfa' ",0.016343512178261445,0.7117291817057029
"'loc', 'cam' ",0.016131666671033117,0.7111380402587021
"'loc', 'ic' ",0.018602427551031003,0.6899147879496288
"'loc', 'cbm' ",0.01833309371945618,0.6924247482133208
"'loc', 'amc' ",0.012329818424347971,0.7103943142536527
"'loc', 'max_cc' ",0.0165734069634384,0.6848968761540981
"'loc', 'avg_cc' ",0.016529192709286267,0.698671533775005
"'loc', 'mfa', 'dit' ",0.018315239205545963,0.724621664722265
"'loc', 'mfa', 'noc' ",0.018987957016262616,0.7132322992826775
"'loc', 'mfa', 'cbo' ",0.017247025976715572,0.72729367108001
"'loc', 'mfa', 'rfc' ",0.014854062435285913,0.7264152186978828
"'loc', 'mfa', 'lcom' ",0.017824164243585947,0.7383133328203477
"'loc', 'mfa', 'ca' ",0.01833208027245328,0.7280533839600889
"'loc', 'mfa', 'ce' ",0.01632572372474443,0.7262868383175013
"'loc', 'mfa', 'npm' ",0.017908523847436606,0.7341132654091224
"'loc', 'mfa', 'lcom3' ",0.017795492041400737,0.7315092762583778
"'loc', 'mfa', 'dam' ",0.018661781221009196,0.7207916928113697
"'loc', 'mfa', 'moa' ",0.018988188338244085,0.7171706721696791
"'loc', 'mfa', 'cam' ",0.01715527084123974,0.7404801217849892
"'loc', 'mfa', 'ic' ",0.018802444761238327,0.7210014917912004
"'loc', 'mfa', 'cbm' ",0.018622888873521783,0.7226211197173501
"'loc', 'mfa', 'amc' ",0.014620705343449641,0.7388539644448111
"'loc', 'mfa', 'max_cc' ",0.01744976436950993,0.7222310028237624
"'loc', 'mfa', 'avg_cc' ",0.01742028820007517,0.7323848433394627
"'loc', 'mfa', 'cam', 'dit' ",0.018431126445958554,0.7462766695488074
"'loc', 'mfa', 'cam', 'noc' ",0.018935664803996045,0.7417279091059334
"'loc', 'mfa', 'cam', 'cbo' ",0.01762996652433576,0.7512366184045287
"'loc', 'mfa', 'cam', 'rfc' ",0.015835243868263515,0.7458794315776325
"'loc', 'mfa', 'cam', 'lcom' ",0.018062820224488543,0.7545451202351274
"'loc', 'mfa', 'cam', 'ca' ",0.01844375724613904,0.7542767835786279
"'loc', 'mfa', 'cam', 'ce' ",0.016938989835357406,0.7499232070319919
"'loc', 'mfa', 'cam', 'npm' ",0.018126089927376535,0.7521526541862482
"'loc', 'mfa', 'cam', 'lcom3' ",0.018041316072849634,0.7534090030132778
"'loc', 'mfa', 'cam', 'dam' ",0.01869103295755598,0.748003220023372
"'loc', 'mfa', 'cam', 'moa' ",0.018935838295482146,0.7455751438511367
"'loc', 'mfa', 'cam', 'ic' ",0.01879653061272783,0.7459205460726015
"'loc', 'mfa', 'cam', 'cbm' ",0.01866186369694042,0.7470571965906772
"'loc', 'mfa', 'cam', 'amc' ",0.015660226049386314,0.7514389761057471
"'loc', 'mfa', 'cam', 'max_cc' ",0.01778202031893153,0.7477240065247913
"'loc', 'mfa', 'cam', 'avg_cc' ",0.01775991319185546,0.7508671485636258
"'loc', 'mfa', 'cam', 'lcom', 'dit' ",0.01890199483161383,0.7538275979348343
"'loc', 'mfa', 'cam', 'lcom', 'noc' ",0.019305625518043826,0.7547277400630877
"'loc', 'mfa', 'cam', 'lcom', 'cbo' ",0.018261066894315597,0.7610997966370471
"'loc', 'mfa', 'cam', 'lcom', 'rfc' ",0.016825288769457804,0.7575134671151601
"'loc', 'mfa', 'cam', 'lcom', 'ca' ",0.018912099471758224,0.7662363194289848
"'loc', 'mfa', 'cam', 'lcom', 'ce' ",0.017708285543132914,0.7588061212359308
"'loc', 'mfa', 'cam', 'lcom', 'npm' ",0.018657965616748217,0.7589116602270377
"'loc', 'mfa', 'cam', 'lcom', 'lcom3' ",0.018590146533126697,0.7589837190148965
"'loc', 'mfa', 'cam', 'lcom', 'dam' ",0.01910992004089177,0.7595502886411339
"'loc', 'mfa', 'cam', 'lcom', 'moa' ",0.019305764311232706,0.7565743825177542
"'loc', 'mfa', 'cam', 'lcom', 'ic' ",0.019194318165029253,0.7557635857309274
"'loc', 'mfa', 'cam', 'lcom', 'cbm' ",0.019086584632399324,0.7556297811488561
"'loc', 'mfa', 'cam', 'lcom', 'amc' ",0.01668527451435604,0.7551685592071345
"'loc', 'mfa', 'cam', 'lcom', 'max_cc' ",0.018382709929992212,0.757742623820086
"'loc', 'mfa', 'cam', 'lcom', 'avg_cc' ",0.018365024228331358,0.7584472221216204
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'dit' ",0.01946986510315102,0.7665658511350519
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'noc' ",0.019806224008509347,0.7660889320376858
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo' ",0.018935758488735823,0.7720040250510557
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'rfc' ",0.01773927671802099,0.7695701537122062
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'ce' ",0.018475107362750254,0.7717156492532957
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'npm' ",0.01926650742409634,0.7700662667853362
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'lcom3' ",0.019209991521078405,0.7707278026402504
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'dam' ",0.019643136110882635,0.7695340865158098
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'moa' ",0.01980633966950008,0.7685881227377702
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'ic' ",0.0197134678809972,0.7676259559224295
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbm' ",0.01962368993713893,0.7682171245274673
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'amc' ",0.01762259817210286,0.7683545309297425
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'max_cc' ",0.019037127685133003,0.7699093272102255
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'avg_cc' ",0.019022389600415624,0.7711237366554977
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'dit' ",0.019410463456075704,0.7720378833535364
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'noc' ",0.019698771089239984,0.7724631852133097
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'rfc' ",0.017927101983107114,0.7740598724042429
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'ce' ",0.01855781396430362,0.7710371838129668
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'npm' ",0.019236156874028836,0.7754629219727901
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3' ",0.019187714671442035,0.7756851953694847
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'dam' ",0.019558981462702803,0.7745881799573558
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'moa' ",0.019698870227232042,0.7742032634322905
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'ic' ",0.01961926583708672,0.7719951838765071
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'cbm' ",0.019542313313779626,0.7727575404365135
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'amc' ",0.017827091800891568,0.7729722329441637
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'max_cc' ",0.01903954566920312,0.7746901934271175
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'avg_cc' ",0.01902691302515965,0.7748742500626077
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'dit' ",0.019571586995026157,0.7742382128194093
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'noc' ",0.0198238561740449,0.7755382439702994
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'rfc' ",0.018273645706178638,0.7761495390902879
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'ce' ",0.01882551868972558,0.7751951262778644
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm' ",0.019419068735735148,0.778702493335522
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'dam' ",0.019701540250824868,0.7776613000615499
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'moa' ",0.01982394291978795,0.7769255655820058
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'ic' ",0.019754289078410793,0.7744773834733332
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'cbm' ",0.019686955620517088,0.7761342715571642
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'amc' ",0.018186136796740037,0.7755269992576601
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'max_cc' ",0.01924703393151264,0.7771201439288703
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'avg_cc' ",0.01923598036797461,0.7786832693539008
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'dit' ",0.019734582571777355,0.7780026635541932
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'noc' ",0.019958821842016236,0.7778229430442405
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'rfc' ",0.01858085698169067,0.7796020609923252
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'ce' ",0.01907141074484351,0.7796310231608302
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'dam' ",0.019850096576931764,0.7811490504732614
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'moa' ",0.019958898949343395,0.7804365282837832
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'ic' ",0.01989698442367481,0.7776822542545212
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'cbm' ",0.019837132461102625,0.7790864907802527
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'amc' ",0.018503071284411914,0.7795578789968447
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'max_cc' ",0.019446090959765343,0.7811217039184706
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc' ",0.019436265569953756,0.7817105512795004
