feature,acc
"['dit']
","0.5624319094806574
"
"['noc']
","0.5168487319550333
"
"['cbo']
","0.6106008000326378
"
"['rfc']
","0.643620558832876
"
"['lcom']
","0.6112061457567848
"
"['ca']
","0.5586509003002513
"
"['ce']
","0.6033162457193487
"
"['npm']
","0.6128061230482212
"
"['lcom3']
","0.6119598888881943
"
"['loc']
","0.6663103477154404
"
"['dam']
","0.569670776616177
"
"['moa']
","0.5523920611684197
"
"['mfa']
","0.6250700161480154
"
"['cam']
","0.6443827328141626
"
"['ic']
","0.5403612058183909
"
"['cbm']
","0.5488264529602411
"
"['amc']
","0.6567674379554089
"
"['max_cc']
","0.6115214256992518
"
"['avg_cc']
","0.6288464412456856
"
"['loc', 'dit']
","0.6969387504547238
"
"['loc', 'noc']
","0.6691473139575789
"
"['loc', 'cbo']
","0.6934750259322195
"
"['loc', 'rfc']
","0.6910171938762614
"
"['loc', 'lcom']
","0.7066586602830096
"
"['loc', 'ca']
","0.6792828154489678
"
"['loc', 'ce']
","0.6897513598474481
"
"['loc', 'npm']
","0.7041034825774357
"
"['loc', 'lcom3']
","0.696966486275673
"
"['loc', 'dam']
","0.6753524888107575
"
"['loc', 'moa']
","0.6736882931962256
"
"['loc', 'mfa']
","0.7117291817057029
"
"['loc', 'cam']
","0.711138040258702
"
"['loc', 'ic']
","0.6899147879496288
"
"['loc', 'cbm']
","0.6924247482133208
"
"['loc', 'amc']
","0.7103943142536527
"
"['loc', 'max_cc']
","0.6848968761540981
"
"['loc', 'avg_cc']
","0.698671533775005
"
"['loc', 'mfa', 'dit']
","0.724621664722265
"
"['loc', 'mfa', 'noc']
","0.7132322992826775
"
"['loc', 'mfa', 'cbo']
","0.72729367108001
"
"['loc', 'mfa', 'rfc']
","0.726415218697883
"
"['loc', 'mfa', 'lcom']
","0.7383133328203477
"
"['loc', 'mfa', 'ca']
","0.7280533839600889
"
"['loc', 'mfa', 'ce']
","0.7262868383175013
"
"['loc', 'mfa', 'npm']
","0.7341132654091224
"
"['loc', 'mfa', 'lcom3']
","0.7315092762583778
"
"['loc', 'mfa', 'dam']
","0.7207916928113697
"
"['loc', 'mfa', 'moa']
","0.717170672169679
"
"['loc', 'mfa', 'cam']
","0.7404801217849892
"
"['loc', 'mfa', 'ic']
","0.7210014917912004
"
"['loc', 'mfa', 'cbm']
","0.7226211197173501
"
"['loc', 'mfa', 'amc']
","0.7388539644448111
"
"['loc', 'mfa', 'max_cc']
","0.7222310028237624
"
"['loc', 'mfa', 'avg_cc']
","0.7323848433394627
"
"['loc', 'mfa', 'cam', 'dit']
","0.7462766695488074
"
"['loc', 'mfa', 'cam', 'noc']
","0.7417279091059334
"
"['loc', 'mfa', 'cam', 'cbo']
","0.7512366184045287
"
"['loc', 'mfa', 'cam', 'rfc']
","0.7458794315776325
"
"['loc', 'mfa', 'cam', 'lcom']
","0.7545451202351274
"
"['loc', 'mfa', 'cam', 'ca']
","0.7542767835786279
"
"['loc', 'mfa', 'cam', 'ce']
","0.7499232070319919
"
"['loc', 'mfa', 'cam', 'npm']
","0.7521526541862482
"
"['loc', 'mfa', 'cam', 'lcom3']
","0.7534090030132778
"
"['loc', 'mfa', 'cam', 'dam']
","0.748003220023372
"
